Division: Ahmedabad
6	Vagara Bus Station	Vagara Bus Station	 	02641-225113
7	GNFC Bus Station	GNFC Bus Station	 	02642-232329
Division: Baroda
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Baroda	C.B.S	0265-2512566	0265-2794700 / M: 7490036856
 	 	C.B.S Admin	 	0265-2793887
 	 	Makarpura	 	0265-2643444
 	 	Panigate	 	0265-2560367
2	Baroda	Nijampura	 	0265-2760660
3	Baroda	Inter City	 	0265-2222015
4	Baroda	Kirti Stambh	 	0265-2416990
5	Baroda	Bhutadi zapa	 	0265-2416590
6	Chhota Udepur	 	02669-232168	02669-232054
7	Bodeli	 	02665-220623	02665-232054
8	Bodeli	Sankheda	 	02663-233483
9	Padra	 	02662-222245	02662-222313
10	Karjan	 	02666-232005	02666-232064
11	Dabhoi	 	02663-256288	02663-256343
12	Vaghodiya	 	02668-262579	 
Division: Bhuj
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Bhuj	 	02832-220102	02832-220002
Bhuj	Narayan Sarovar	 	02839-266664
2	Mandvi	 	02834-220004	02834-232544
3	Mundra	 	02338-224200	02838-222125
4	Anjar	 	02836-241192	02836-242692
Anjar	Gandhidham	 	02836-220198
5	Bhachau	 	02837-224049	02837-224049
6	Rapar	 	02830-222035	02830-220002
7	Naliya	 	02831-222980	02831-222119
8	Nakhatrana	 	02835-222170	02835-222129
Division: Himmatnagar
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Himmatnagar	 	02772-241897	02772-241233
2	Idar	 	02778-250016	02778-250091
3	Modasa	 	02774-246203	02774-246239
Modasa	Megharaj	 	02773-244481
Modasa	Malpur	 	02773-223094
4	Bayad	 	02779-222126	02779-222041
Bayad	Dhansura	 	02774-222044
5	Vijapur	 	02763-220274	02763-220014
6	Mansa	 	02763-270018	02763-270016
7	Khedbrahma	 	02775-220337	02775-220074
8	Bhiloda	 	02771-234561	02771-232022
Bhiloda	Shamalaji	 	02771-240123
9	Prantij	 	02770-230519	02770-230517
Prantij	Talod	 	02770-220329
Division: Godhara
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Godhara	 	02672-262993	02672-241923
Godhara	Vejalpur	 	02672-234655
2	Dahod	 	02673-220246	02673-220043
3	Lunawada	 	02674-250058	02674-250001
Lunawada	Shehara	 	02670-226360
4	Zalod	 	02679-225514	02679-224152
Zalod	Limbadi	 	02679-236160
5	Santrampur	 	02675-220005	02675-220029
6	Halol	 	02676-221097	02676-220422
Halol	Pavagadh	 	02676-245646
7	Bariya	 	02678-221241	02678-220271
Division: Jamnagar
